It.no.|   Time    |time step |SOR iterations | residual | SOR converged 
    231 |  3.613493 | 0.003798 |      511      | 0.000996 | Yes 
    232 |  3.617291 | 0.003789 |      361      | 0.001000 | Yes 
    233 |  3.621081 | 0.002816 |      114      | 0.000998 | Yes 
    234 |  3.623896 | 0.002634 |      328      | 0.000998 | Yes 
    235 |  3.626530 | 0.002634 |      306      | 0.000997 | Yes 
    236 |  3.629164 | 0.003593 |      383      | 0.000995 | Yes 
    237 |  3.632756 | 0.003592 |      396      | 0.000990 | Yes 
    238 |  3.636348 | 0.003593 |      356      | 0.000992 | Yes 
    239 |  3.639941 | 0.003593 |      593      | 0.000999 | Yes 
    240 |  3.643533 | 0.003593 |      654      | 0.000993 | Yes 
    241 |  3.647126 | 0.003414 |      600      | 0.000999 | Yes 
    242 |  3.650540 | 0.003593 |      632      | 0.000997 | Yes 
    243 |  3.654133 | 0.003593 |      449      | 0.000992 | Yes 
    244 |  3.657725 | 0.003593 |      468      | 0.000990 | Yes 
    245 |  3.661318 | 0.003593 |      337      | 0.001000 | Yes 
    246 |  3.664910 | 0.003593 |      618      | 0.000998 | Yes 
    247 |  3.668503 | 0.003593 |      645      | 0.000998 | Yes 
    248 |  3.672095 | 0.003593 |      415      | 0.000998 | Yes 
    249 |  3.675688 | 0.003593 |      698      | 0.000993 | Yes 
    250 |  3.679280 | 0.003593 |      346      | 0.000999 | Yes 
    251 |  3.682873 | 0.003593 |      489      | 0.000991 | Yes 
    252 |  3.686465 | 0.003593 |      460      | 0.000997 | Yes 
    253 |  3.690058 | 0.003593 |      355      | 0.000993 | Yes 
    254 |  3.693651 | 0.003593 |      283      | 0.000997 | Yes 
    255 |  3.697243 | 0.003593 |      279      | 0.000997 | Yes 
    256 |  3.700836 | 0.003593 |      253      | 0.000993 | Yes 
    257 |  3.704428 | 0.003593 |      278      | 0.000998 | Yes 
    258 |  3.708021 | 0.003593 |      136      | 0.000999 | Yes 
    259 |  3.711613 | 0.003593 |      186      | 0.000995 | Yes 
    260 |  3.715206 | 0.003593 |      222      | 0.000995 | Yes 
    261 |  3.718798 | 0.003593 |      231      | 0.000993 | Yes 
    262 |  3.722391 | 0.003593 |      323      | 0.000993 | Yes 
    263 |  3.725983 | 0.003593 |      514      | 0.000998 | Yes 
    264 |  3.729576 | 0.003593 |      485      | 0.000994 | Yes 
    265 |  3.733169 | 0.003593 |      293      | 0.000992 | Yes 
    266 |  3.736761 | 0.003593 |      376      | 0.000991 | Yes 
    267 |  3.740354 | 0.003593 |      332      | 0.000991 | Yes 
    268 |  3.743946 | 0.003593 |      308      | 0.000997 | Yes 
    269 |  3.747539 | 0.003593 |      135      | 0.000994 | Yes 
    270 |  3.751131 | 0.003593 |      486      | 0.000992 | Yes 
    271 |  3.754724 | 0.003593 |      171      | 0.000995 | Yes 
    272 |  3.758316 | 0.003593 |      448      | 0.000990 | Yes 
    273 |  3.761909 | 0.003593 |      284      | 0.000991 | Yes 
    274 |  3.765501 | 0.003593 |      313      | 0.000996 | Yes 
    275 |  3.769094 | 0.003593 |      200      | 0.000993 | Yes 
    276 |  3.772686 | 0.003593 |      112      | 0.000998 | Yes 
    277 |  3.776279 | 0.003593 |      344      | 0.000992 | Yes 
    278 |  3.779872 | 0.003593 |      431      | 0.000990 | Yes 
    279 |  3.783464 | 0.003593 |      405      | 0.000999 | Yes 
    280 |  3.787057 | 0.003593 |      379      | 0.000998 | Yes 
    281 |  3.790649 | 0.003593 |      293      | 0.000997 | Yes 
    282 |  3.794242 | 0.003593 |      443      | 0.000995 | Yes 
    283 |  3.797834 | 0.003593 |      393      | 0.001000 | Yes 
    284 |  3.801427 | 0.003593 |      408      | 0.000996 | Yes 
    285 |  3.805019 | 0.003593 |      435      | 0.000999 | Yes 
    286 |  3.808612 | 0.003593 |      294      | 0.000993 | Yes 
    287 |  3.812204 | 0.003593 |      286      | 0.000995 | Yes 
    288 |  3.815797 | 0.003593 |      384      | 0.000991 | Yes 
    289 |  3.819389 | 0.003593 |      379      | 0.000996 | Yes 
    290 |  3.822982 | 0.003593 |      41      | 0.000972 | Yes 
    291 |  3.826575 | 0.003593 |      56      | 0.000984 | Yes 
    292 |  3.830167 | 0.003593 |      285      | 0.000993 | Yes 
    293 |  3.833760 | 0.003593 |      324      | 0.000985 | Yes 
    294 |  3.837352 | 0.003593 |      249      | 0.001000 | Yes 
    295 |  3.840945 | 0.003593 |      322      | 0.000990 | Yes 
    296 |  3.844537 | 0.003593 |      694      | 0.000989 | Yes 
    297 |  3.848130 | 0.003593 |      673      | 0.000998 | Yes 
    298 |  3.851722 | 0.003593 |      285      | 0.000990 | Yes 
    299 |  3.855315 | 0.003593 |      305      | 0.000993 | Yes 
    300 |  3.858907 | 0.003593 |      408      | 0.000990 | Yes 
    301 |  3.862500 | 0.003593 |      561      | 0.000992 | Yes 
    302 |  3.866093 | 0.003593 |      585      | 0.000992 | Yes 
    303 |  3.869685 | 0.003593 |      398      | 0.000997 | Yes 
    304 |  3.873278 | 0.003593 |      515      | 0.000993 | Yes 
    305 |  3.876870 | 0.003593 |      528      | 0.000994 | Yes 
    306 |  3.880463 | 0.003593 |      179      | 0.000998 | Yes 
    307 |  3.884055 | 0.003593 |      160      | 0.000998 | Yes 
    308 |  3.887648 | 0.003593 |      258      | 0.000990 | Yes 
    309 |  3.891240 | 0.003593 |      317      | 0.000992 | Yes 
    310 |  3.894833 | 0.003593 |      335      | 0.000999 | Yes 
    311 |  3.898425 | 0.003593 |      194      | 0.000994 | Yes 
    312 |  3.902018 | 0.003593 |      261      | 0.001000 | Yes 
    313 |  3.905610 | 0.003593 |      156      | 0.000996 | Yes 
    314 |  3.909203 | 0.003593 |      198      | 0.000998 | Yes 
    315 |  3.912796 | 0.003593 |      194      | 0.000999 | Yes 
    316 |  3.916388 | 0.003593 |      307      | 0.000997 | Yes 
    317 |  3.919981 | 0.003593 |      482      | 0.000990 | Yes 
    318 |  3.923573 | 0.003593 |      504      | 0.000992 | Yes 
    319 |  3.927166 | 0.003593 |      544      | 0.000990 | Yes 
    320 |  3.930758 | 0.003593 |      401      | 0.000997 | Yes 
    321 |  3.934351 | 0.003593 |      484      | 0.000990 | Yes 
    322 |  3.937943 | 0.003593 |      466      | 0.000992 | Yes 
    323 |  3.941536 | 0.003593 |      399      | 0.000997 | Yes 
    324 |  3.945128 | 0.003593 |      170      | 0.000999 | Yes 
    325 |  3.948721 | 0.003593 |      540      | 0.000996 | Yes 
    326 |  3.952314 | 0.003593 |      539      | 0.000992 | Yes 
    327 |  3.955906 | 0.003593 |      605      | 0.000999 | Yes 
    328 |  3.959499 | 0.003593 |      211      | 0.000998 | Yes 
    329 |  3.963091 | 0.003593 |      77      | 0.000995 | Yes 
    330 |  3.966684 | 0.003593 |      355      | 0.000998 | Yes 
